gene,feature_type
Gm29347,Gene Expression
Celrr,Gene Expression
Gm29359,Gene Expression
Insig2,Gene Expression
2210011K15Rik,Gene Expression
Ccdc93,Gene Expression
Gm15392,Gene Expression
Htr5b,Gene Expression
Ddx18,Gene Expression
Gm28590,Gene Expression
Dpp10,Gene Expression
Gm28928,Gene Expression
1700121L03Rik,Gene Expression
Actr3,Gene Expression
Gm28706,Gene Expression
Slc35f5,Gene Expression
Gpr39,Gene Expression
Lypd1,Gene Expression
Nckap5,Gene Expression
4930599A14Rik,Gene Expression
Mgat5,Gene Expression
Tmem163,Gene Expression
Acmsd,Gene Expression
2900009J06Rik,Gene Expression
Ccnt2,Gene Expression
Map3k19,Gene Expression
Rab3gap1,Gene Expression
Zranb3,Gene Expression
Gm28800,Gene Expression
R3hdm1,Gene Expression
Ubxn4,Gene Expression
Lct,Gene Expression
Mcm6,Gene Expression
Dars,Gene Expression
Cxcr4,Gene Expression
Gm26686,Gene Expression
Thsd7b,Gene Expression
Gm16081,Gene Expression
Cd55b,Gene Expression
Gm15674,Gene Expression
Gm15675,Gene Expression
Cd55,Gene Expression
Gm16083,Gene Expression
Zp3r,Gene Expression
C4bp,Gene Expression
Gm29427,Gene Expression
Pfkfb2,Gene Expression
Yod1,Gene Expression
AA986860,Gene Expression
Gm28857,Gene Expression
Gm28856,Gene Expression
Fcamr,Gene Expression
Gm15848,Gene Expression
Pigr,Gene Expression
Fcmr,Gene Expression
Il24,Gene Expression
Il20,Gene Expression
Il19,Gene Expression
Il10,Gene Expression
Mapkapk2,Gene Expression
Dyrk3,Gene Expression
Eif2d,Gene Expression
Rassf5,Gene Expression
Ikbke,Gene Expression
Gm28914,Gene Expression
Gm28913,Gene Expression
Srgap2,Gene Expression
Fam72a,Gene Expression
Avpr1b,Gene Expression
Ctse,Gene Expression
Rab7b,Gene Expression
Slc26a9,Gene Expression
Pm20d1,Gene Expression
Slc41a1,Gene Expression
Rab29,Gene Expression
Nucks1,Gene Expression
Slc45a3,Gene Expression
Elk4,Gene Expression
Mfsd4a,Gene Expression
Gm26892,Gene Expression
Cdk18,Gene Expression
Gm29629,Gene Expression
Lemd1,Gene Expression
1700037F24Rik,Gene Expression
Gm10188,Gene Expression
Gm29630,Gene Expression
Klhdc8a,Gene Expression
Nuak2,Gene Expression
F730311O21Rik,Gene Expression
Tmcc2,Gene Expression
Gm15849,Gene Expression
Dstyk,Gene Expression
Rbbp5,Gene Expression
Tmem81,Gene Expression
Cntn2,Gene Expression
Nfasc,Gene Expression
Gm10538,Gene Expression
Lrrn2,Gene Expression
Mdm4,Gene Expression
Pik3c2b,Gene Expression
Gm28609,Gene Expression
Ppp1r15b,Gene Expression
Plekha6,Gene Expression
Gm19461,Gene Expression
Golt1a,Gene Expression
Kiss1,Gene Expression
Gm28040,Gene Expression
Kiss1-1,Gene Expression
Ren1,Gene Expression
Etnk2,Gene Expression
Sox13,Gene Expression
Snrpe,Gene Expression
Gm26706,Gene Expression
Zc3h11a,Gene Expression
Zc3h11a-1,Gene Expression
Gm38394,Gene Expression
Zbed6,Gene Expression
Lax1,Gene Expression
Atp2b4,Gene Expression
Gm28441,Gene Expression
Optc,Gene Expression
