gene,feature_type
2900092C05Rik,Gene Expression
Vmn2r53,Gene Expression
Vmn2r54,Gene Expression
Vmn2r55,Gene Expression
Vmn2r56,Gene Expression
Zscan18,Gene Expression
Zfp329,Gene Expression
Gm45593,Gene Expression
Zfp110,Gene Expression
Gm31152,Gene Expression
Zfp128,Gene Expression
Zscan22,Gene Expression
Rps5,Gene Expression
Rnf225,Gene Expression
1810019N24Rik,Gene Expression
Gm29638,Gene Expression
Zfp324,Gene Expression
Zfp446,Gene Expression
Slc27a5,Gene Expression
Trim28,Gene Expression
Zbtb45,Gene Expression
Chmp2a,Gene Expression
Ube2m,Gene Expression
Mzf1,Gene Expression
Vmn1r85,Gene Expression
Gm45436,Gene Expression
Vmn1r86,Gene Expression
Vmn1r87,Gene Expression
Vmn1r88,Gene Expression
Gm38947,Gene Expression
Vmn1r89,Gene Expression
Zswim9,Gene Expression
Lig1,Gene Expression
Pla2g4c,Gene Expression
Cabp5,Gene Expression
Bsph1,Gene Expression
Bsph2,Gene Expression
Sult2a5,Gene Expression
Sult2a2,Gene Expression
Sult2a1,Gene Expression
Sult2a4,Gene Expression
Sult2a3,Gene Expression
Sult2a6,Gene Expression
Obox8,Gene Expression
Sult2a8,Gene Expression
Sult2a7,Gene Expression
Vmn1r90,Gene Expression
Obox7,Gene Expression
Obox2,Gene Expression
Obox1,Gene Expression
Obox3,Gene Expression
Obox5,Gene Expression
Obox4-ps35,Gene Expression
Obox6,Gene Expression
Crx,Gene Expression
Crxos,Gene Expression
Selenow,Gene Expression
Nop53,Gene Expression
Ehd2,Gene Expression
Bicra,Gene Expression
Gm38948,Gene Expression
Zfp541,Gene Expression
Napa,Gene Expression
Kptn,Gene Expression
Slc8a2,Gene Expression
Meis3,Gene Expression
Dhx34,Gene Expression
C5ar2,Gene Expression
C5ar1,Gene Expression
Inafm1,Gene Expression
Ccdc9,Gene Expression
Bbc3,Gene Expression
Sae1,Gene Expression
Zc3h4,Gene Expression
Gm45509,Gene Expression
Gm45510,Gene Expression
Tmem160,Gene Expression
Npas1,Gene Expression
Arhgap35,Gene Expression
Gm29443,Gene Expression
Gm29442,Gene Expression
Ceacam15,Gene Expression
Ceacam9,Gene Expression
Ap2s1,Gene Expression
Slc1a5,Gene Expression
Fkrp,Gene Expression
Strn4,Gene Expression
Prkd2,Gene Expression
9330104G04Rik,Gene Expression
Dact3,Gene Expression
Gng8,Gene Expression
Ptgir,Gene Expression
Calm3,Gene Expression
Pnmal2,Gene Expression
Pnmal1,Gene Expression
Gm42372,Gene Expression
Ccdc8,Gene Expression
Ppp5c,Gene Expression
Hif3a,Gene Expression
Psg16,Gene Expression
Ceacam3,Gene Expression
Psg29,Gene Expression
Gm32772,Gene Expression
Gm32846,Gene Expression
Ceacam5,Gene Expression
Ceacam14,Gene Expression
Ceacam11,Gene Expression
Ceacam13,Gene Expression
Ceacam12,Gene Expression
Gm44613,Gene Expression
Igfl3,Gene Expression
Mill1,Gene Expression
Psg18,Gene Expression
Psg28,Gene Expression
Psg26,Gene Expression
Psg25,Gene Expression
Psg27,Gene Expression
Psg23,Gene Expression
Psg21,Gene Expression
Psg20,Gene Expression
Psg22,Gene Expression
Psg19,Gene Expression
Psg17,Gene Expression
Mill2,Gene Expression
Pglyrp1,Gene Expression
Ccdc61,Gene Expression
Nova2,Gene Expression
Gm26821,Gene Expression
Nanos2,Gene Expression
Gm45058,Gene Expression
Mypop,Gene Expression
Mypopos,Gene Expression
Irf2bp1,Gene Expression
Foxa3,Gene Expression
Sympk,Gene Expression
Rsph6a,Gene Expression
Dmwd,Gene Expression
Dmpk,Gene Expression
Six5,Gene Expression
Gm4969,Gene Expression
Fbxo46,Gene Expression
Qpctl,Gene Expression
Snrpd2,Gene Expression
Gipr,Gene Expression
Eml2,Gene Expression
Gpr4,Gene Expression
Opa3,Gene Expression
Vasp,Gene Expression
1700058P15Rik,Gene Expression
Ppm1n,Gene Expression
Rtn2,Gene Expression
Gm26802,Gene Expression
Fosb,Gene Expression
D830036C21Rik,Gene Expression
Gm44698,Gene Expression
Ercc1,Gene Expression
Cd3eap,Gene Expression
Ppp1r13l,Gene Expression
Ercc2,Gene Expression
Gm26852,Gene Expression
Klc3,Gene Expression
Ckm,Gene Expression
A930016O22Rik,Gene Expression
Mark4,Gene Expression
Exoc3l2,Gene Expression
Bloc1s3,Gene Expression
Trappc6a,Gene Expression
Nkpd1,Gene Expression
Ppp1r37,Gene Expression
Gemin7,Gene Expression
Zfp296,Gene Expression
Clasrp,Gene Expression
Gm26890,Gene Expression
Relb,Gene Expression
Clptm1,Gene Expression
Apoc2,Gene Expression
Gm44805,Gene Expression
Apoc4,Gene Expression
Apoc1,Gene Expression
Apoe,Gene Expression
Tomm40,Gene Expression
Gm20512,Gene Expression
Nectin2,Gene Expression
Bcam,Gene Expression
Gm26600,Gene Expression
Cblc,Gene Expression
Bcl3,Gene Expression
Gm16175,Gene Expression
Gm16174,Gene Expression
Gm44658,Gene Expression
Gm19345,Gene Expression
Ceacam16,Gene Expression
Gm44659,Gene Expression
Ceacam19,Gene Expression
Pvr,Gene Expression
Gm16251,Gene Expression
Igsf23,Gene Expression
Ceacam20,Gene Expression
Nlrp9b,Gene Expression
Vmn1r91,Gene Expression
Gm16442,Gene Expression
Vmn1r93,Gene Expression
Vmn1r94,Gene Expression
Vmn1r95,Gene Expression
Gm6164,Gene Expression
Gm4498,Gene Expression
Gm5890,Gene Expression
Gm4133,Gene Expression
Gm5728,Gene Expression
Vmn1r100,Gene Expression
Vmn1r101,Gene Expression
Gm10670,Gene Expression
Vmn1r103,Gene Expression
Vmn1r104,Gene Expression
Gm5726,Gene Expression
Gm4141,Gene Expression
Gm4513,Gene Expression
Vmn1r107,Gene Expression
Vmn1r111,Gene Expression
Gm10668,Gene Expression
Vmn1r112,Gene Expression
Vmn1r113,Gene Expression
Vmn1r114,Gene Expression
Vmn1r115,Gene Expression
Vmn1r116,Gene Expression
Vmn1r117,Gene Expression
Vmn1r118,Gene Expression
Vmn1r119,Gene Expression
Vmn1r120,Gene Expression
Vmn1r121,Gene Expression
Vmn1r122,Gene Expression
Vmn1r123,Gene Expression
Gm5157,Gene Expression
Vmn1r124,Gene Expression
Vmn1r125,Gene Expression
Vmn1r126,Gene Expression
Vmn1r127,Gene Expression
Vmn1r128,Gene Expression
Vmn1r129,Gene Expression
Gm6882,Gene Expression
Vmn1r130,Gene Expression
Vmn1r131,Gene Expression
Vmn1r132,Gene Expression
Gm4175,Gene Expression
Gm4177,Gene Expression
Vmn1r135,Gene Expression
Gm5725,Gene Expression
Gm5891,Gene Expression
Vmn1r137,Gene Expression
Vmn1r138,Gene Expression
Gm6176,Gene Expression
Vmn1r139,Gene Expression
Gm16451,Gene Expression
Gm10666,Gene Expression
Vmn1r142,Gene Expression
Vmn1r143,Gene Expression
Gm8653,Gene Expression
Gm8453,Gene Expression
Gm4187,Gene Expression
Gm8660,Gene Expression
Vmn1r148,Gene Expression
Vmn1r149,Gene Expression
Gm10665,Gene Expression
Vmn1r151,Gene Expression
Vmn1r152,Gene Expression
Gm8677,Gene Expression
Gm4201,Gene Expression
Gm4565,Gene Expression
Vmn1r155,Gene Expression
Gm8693,Gene Expression
Gm4567,Gene Expression
Vmn1r157,Gene Expression
Vmn1r158,Gene Expression
Vmn1r159,Gene Expression
Vmn1r160,Gene Expression
Gm4214,Gene Expression
Gm4216,Gene Expression
Vmn1r163,Gene Expression
Gm8720,Gene Expression
Gm10662,Gene Expression
Vmn1r165,Gene Expression
Vmn1r166,Gene Expression
Gm6902,Gene Expression
Nlrp4e,Gene Expression
Nlrp5,Gene Expression
Vmn1r167,Gene Expression
Vmn1r168,Gene Expression
Vmn1r169,Gene Expression
Vmn1r170,Gene Expression
Vmn1r171,Gene Expression
Vmn1r172,Gene Expression
Vmn1r173,Gene Expression
Vmn1r174,Gene Expression
Vmn1r175,Gene Expression
Vmn1r176,Gene Expression
Vmn1r177,Gene Expression
Vmn1r178,Gene Expression
Vmn1r179,Gene Expression
Vmn1r180,Gene Expression
Vmn1r181,Gene Expression
V1rd19,Gene Expression
Gm36694,Gene Expression
Vmn1r183,Gene Expression
Zfp180,Gene Expression
Zfp112,Gene Expression
Gm44793,Gene Expression
Zfp235,Gene Expression
Zfp114,Gene Expression
Zfp111,Gene Expression
Zfp109,Gene Expression
Zfp108,Gene Expression
Zfp93,Gene Expression
Zfp61,Gene Expression
Zfp94,Gene Expression
Tescl,Gene Expression
Lypd5,Gene Expression
Kcnn4,Gene Expression
Smg9,Gene Expression
Irgc1,Gene Expression
Gm36159,Gene Expression
Plaur,Gene Expression
Cadm4,Gene Expression
Zfp428,Gene Expression
Irgq,Gene Expression
Pinlyp,Gene Expression
Xrcc1,Gene Expression
Zfp575,Gene Expression
Ethe1,Gene Expression
Phldb3,Gene Expression
Gm26550,Gene Expression
Lypd3,Gene Expression
Gm4598,Gene Expression
Tex101,Gene Expression
BC049730,Gene Expression
Gm4763,Gene Expression
Cd177,Gene Expression
Ceacam10,Gene Expression
Gm9844,Gene Expression
Lypd4,Gene Expression
Dmrtc2,Gene Expression
Rps19,Gene Expression
Cd79a,Gene Expression
Arhgef1,Gene Expression
Gm4881,Gene Expression
Gm44970,Gene Expression
Rabac1,Gene Expression
Atp1a3,Gene Expression
Grik5,Gene Expression
Zfp574,Gene Expression
Pou2f2,Gene Expression
D930028M14Rik,Gene Expression
Dedd2,Gene Expression
4933430L12Rik,Gene Expression
Zfp526,Gene Expression
Gsk3a,Gene Expression
9130221H12Rik,Gene Expression
Erf,Gene Expression
Cic,Gene Expression
Pafah1b3,Gene Expression
Prr19,Gene Expression
Tmem145,Gene Expression
Megf8,Gene Expression
Cnfn,Gene Expression
4732471J01Rik,Gene Expression
Lipe,Gene Expression
Cxcl17,Gene Expression
Ceacam1,Gene Expression
Ceacam2,Gene Expression
Gm29918,Gene Expression
Gm38569,Gene Expression
Erich4,Gene Expression
Dmac2,Gene Expression
B3gnt8,Gene Expression
Bckdha,Gene Expression
Exosc5,Gene Expression
Tmem91,Gene Expression
B9d2,Gene Expression
Tgfb1,Gene Expression
Ccdc97,Gene Expression
Hnrnpul1,Gene Expression
Axl,Gene Expression
Cyp2s1,Gene Expression
Gm26707,Gene Expression
Gm30146,Gene Expression
Cyp2b10,Gene Expression
BC026762,Gene Expression
Cyp2b13,Gene Expression
Cyp2b9,Gene Expression
Vmn1r184,Gene Expression
Gm42375,Gene Expression
Cyp2a4,Gene Expression
Nlrp9c,Gene Expression
Nlrp4a,Gene Expression
Nlrp9a,Gene Expression
Vmn1r185,Gene Expression
Cyp2b23,Gene Expression
Cyp2b19,Gene Expression
Cyp2g1,Gene Expression
Cyp2a5,Gene Expression
Cyp2a22,Gene Expression
Cyp2a12,Gene Expression
Cyp2f2,Gene Expression
Gm15883,Gene Expression
Cyp2t4,Gene Expression
Egln2,Gene Expression
Rab4b,Gene Expression
Gm21983,Gene Expression
Mia,Gene Expression
Snrpa,Gene Expression
BC024978,Gene Expression
Itpkc,Gene Expression
Coq8b,Gene Expression
Gm15567,Gene Expression
Numbl,Gene Expression
Ltbp4,Gene Expression
Shkbp1,Gene Expression
Gm20479,Gene Expression
Sptbn4,Gene Expression
Blvrb,Gene Expression
Sertad3,Gene Expression
Sertad1,Gene Expression
Prx,Gene Expression
Gm15541,Gene Expression
Hipk4,Gene Expression
Pld3,Gene Expression
2310022A10Rik,Gene Expression
Akt2,Gene Expression
Ttc9b,Gene Expression
Map3k10,Gene Expression
Zfp607b,Gene Expression
Zfp60,Gene Expression
Zfp626,Gene Expression
Zfp59,Gene Expression
Zfp607a,Gene Expression
Zfp974,Gene Expression
Gm26891,Gene Expression
Zfp780b,Gene Expression
Zfp850,Gene Expression
Psmc4,Gene Expression
Gm44744,Gene Expression
Fcgbp,Gene Expression
9530053A07Rik,Gene Expression
Fbl,Gene Expression
Dyrk1b,Gene Expression
Eid2,Gene Expression
Eid2b,Gene Expression
Selenov,Gene Expression
Dll3,Gene Expression
Timm50,Gene Expression
Supt5,Gene Expression
Gm44709,Gene Expression
Rps16,Gene Expression
Plekhg2,Gene Expression
Zfp36,Gene Expression
Gm44710,Gene Expression
Med29,Gene Expression
Paf1,Gene Expression
Samd4b,Gene Expression
Gmfg,Gene Expression
Lrfn1,Gene Expression
Ifnl2,Gene Expression
Ifnl3,Gene Expression
Sycn,Gene Expression
Nccrp1,Gene Expression
Pak4,Gene Expression
Acp7,Gene Expression
Gm44618,Gene Expression
Fbxo27,Gene Expression
Fbxo17,Gene Expression
Mrps12,Gene Expression
Sars2,Gene Expression
Ccer2,Gene Expression
Nfkbib,Gene Expression
Sirt2,Gene Expression
Rinl,Gene Expression
Hnrnpl,Gene Expression
Gm44702,Gene Expression
Ech1,Gene Expression
Lgals4,Gene Expression
Gm10648,Gene Expression
Lgals7,Gene Expression
Capn12,Gene Expression
Gm44700,Gene Expression
Actn4,Gene Expression
Eif3k,Gene Expression
Map4k1,Gene Expression
Ryr1,Gene Expression
Gm38979,Gene Expression
Gm26604,Gene Expression
Rasgrp4,Gene Expression
Gm16282,Gene Expression
Fam98c,Gene Expression
1110035H17Rik,Gene Expression
Spred3,Gene Expression
Ggn,Gene Expression
Psmd8,Gene Expression
Catsperg1,Gene Expression
Kcnk6,Gene Expression
Yif1b,Gene Expression
2200002D01Rik,Gene Expression
Spint2,Gene Expression
Ppp1r14a,Gene Expression
Dpf1,Gene Expression
Gm44632,Gene Expression
Sipa1l3,Gene Expression
Gm29326,Gene Expression
A330087D11Rik,Gene Expression
Catsperg2,Gene Expression
Zfp84,Gene Expression
Zfp30,Gene Expression
Zfp790,Gene Expression
Zfp940,Gene Expression
Gm26554,Gene Expression
Zfp420,Gene Expression
Zfp27,Gene Expression
Zfp383,Gene Expression
Zfp74,Gene Expression
Zfp568,Gene Expression
Zfp14,Gene Expression
Zfp82,Gene Expression
Gm26920,Gene Expression
Zfp566,Gene Expression
Zfp260,Gene Expression
Zfp382,Gene Expression
Zfp146,Gene Expression
Gm5113,Gene Expression
Cox7a1,Gene Expression
Capns1,Gene Expression
Gm26810,Gene Expression
Tbcb,Gene Expression
Polr2i,Gene Expression
Ovol3,Gene Expression
Wdr62,Gene Expression
Thap8,Gene Expression
Clip3,Gene Expression
Alkbh6,Gene Expression
Syne4,Gene Expression
Sdhaf1,Gene Expression
E130208F15Rik,Gene Expression
4930479H17Rik,Gene Expression
Lrfn3,Gene Expression
Tyrobp,Gene Expression
Hcst,Gene Expression
Nfkbid,Gene Expression
Aplp1,Gene Expression
Kirrel2,Gene Expression
Nphs1,Gene Expression
Nphs1os,Gene Expression
Prodh2,Gene Expression
Arhgap33os,Gene Expression
Arhgap33,Gene Expression
Proser3,Gene Expression
Hspb6,Gene Expression
Lin37,Gene Expression
Psenen,Gene Expression
U2af1l4,Gene Expression
Gm49396,Gene Expression
Igflr1,Gene Expression
Kmt2b,Gene Expression
Zbtb32,Gene Expression
Upk1a,Gene Expression
Cox6b1,Gene Expression
Etv2,Gene Expression
Rbm42,Gene Expression
Gm26610,Gene Expression
Haus5,Gene Expression
Pmis2,Gene Expression
2200002J24Rik,Gene Expression
Atp4a,Gene Expression
Tmem147,Gene Expression
Tmem147os,Gene Expression
Gapdhs,Gene Expression
Gm26935,Gene Expression
Sbsn,Gene Expression
Dmkn,Gene Expression
Krtdap,Gene Expression
Ffar2,Gene Expression
Ffar3,Gene Expression
Ffar1,Gene Expression
Cd22,Gene Expression
Gm29439,Gene Expression
D7Ertd128e,Gene Expression
Mag,Gene Expression
Gm44662,Gene Expression
Hamp2,Gene Expression
Hamp,Gene Expression
Usf2,Gene Expression
Gm17077,Gene Expression
Gm4673,Gene Expression
Lsr,Gene Expression
Fam187b,Gene Expression
Fxyd5,Gene Expression
Fxyd7,Gene Expression
Fxyd1,Gene Expression
Lgi4,Gene Expression
Fxyd3,Gene Expression
Hpn,Gene Expression
Scn1b,Gene Expression
Gramd1a,Gene Expression
G630030J09Rik,Gene Expression
Gm10640,Gene Expression
Scgb2b2,Gene Expression
Scgb1b2,Gene Expression
Scgb2b3,Gene Expression
Scgb1b3,Gene Expression
Scgb2b7,Gene Expression
Scgb1b7,Gene Expression
Scgb1b10,Gene Expression
Scgb2b11,Gene Expression
Scgb1b11,Gene Expression
Scgb2b12,Gene Expression
Scgb1b12,Gene Expression
Scgb1b29,Gene Expression
Scgb2b15,Gene Expression
Scgb1b15,Gene Expression
Scgb2b17,Gene Expression
Scgb1b17,Gene Expression
Scgb2b18,Gene Expression
Scgb1b18,Gene Expression
Scgb2b19,Gene Expression
Scgb1b19,Gene Expression
Scgb2b20,Gene Expression
Scgb1b20,Gene Expression
Scgb2b21,Gene Expression
Gm12763,Gene Expression
Scgb2b24,Gene Expression
Scgb1b24,Gene Expression
Scgb2b26,Gene Expression
Scgb2b27,Gene Expression
Scgb1b27,Gene Expression
Scgb1b30,Gene Expression
Wtip,Gene Expression
Uba2,Gene Expression
Pdcd2l,Gene Expression
Gpi1,Gene Expression
Gm26762,Gene Expression
Gm12762,Gene Expression
Gm12758,Gene Expression
4931406P16Rik,Gene Expression
Gm6096,Gene Expression
Lsm14a,Gene Expression
Gm12764,Gene Expression
Gm12766,Gene Expression
Gm12784,Gene Expression
Gm44837,Gene Expression
Kctd15,Gene Expression
Gm12781,Gene Expression
Gm12756,Gene Expression
Chst8,Gene Expression
Pepd,Gene Expression
Cebpg,Gene Expression
Gm45095,Gene Expression
Gm45096,Gene Expression
Gm35611,Gene Expression
Gm45091,Gene Expression
Cebpa,Gene Expression
Gm35665,Gene Expression
Slc7a10,Gene Expression
Lrp3,Gene Expression
Gpatch1,Gene Expression
Rhpn2,Gene Expression
Faap24,Gene Expression
Cep89,Gene Expression
Slc7a9,Gene Expression
Tdrd12,Gene Expression
Nudt19,Gene Expression
B230322F03Rik,Gene Expression
Rgs9bp,Gene Expression
Ankrd27,Gene Expression
Pdcd5,Gene Expression
Dpy19l3,Gene Expression
Zfp507,Gene Expression
Gm26790,Gene Expression
E130304I02Rik,Gene Expression
Gm28514,Gene Expression
Gm38991,Gene Expression
Gm29129,Gene Expression
Tshz3,Gene Expression
Gm28078,Gene Expression
Gm28076,Gene Expression
Gm28075,Gene Expression
Gm28077,Gene Expression
Gm45768,Gene Expression
Zfp536,Gene Expression
4930505M18Rik,Gene Expression
Uri1,Gene Expression
Gm30684,Gene Expression
Gm30771,Gene Expression
Ccne1,Gene Expression
D530033B14Rik,Gene Expression
1600014C10Rik,Gene Expression
Plekhf1,Gene Expression
Pop4,Gene Expression
Gm44767,Gene Expression
Gm29087,Gene Expression
Gm5591,Gene Expression
Gm5114,Gene Expression
Zfp619,Gene Expression
Gm37494,Gene Expression
Gm26526,Gene Expression
Gm45839,Gene Expression
4930435C17Rik,Gene Expression
4930558N11Rik,Gene Expression
Gm44992,Gene Expression
4933404I11Rik,Gene Expression
Gm28807,Gene Expression
4933402C06Rik,Gene Expression
A230077H06Rik,Gene Expression
Gm28307,Gene Expression
Vstm2b,Gene Expression
4930433I11Rik,Gene Expression
Gm38997,Gene Expression
Gm4884,Gene Expression
1700110I07Rik,Gene Expression
Gm44839,Gene Expression
Gm44748,Gene Expression
Gm5592,Gene Expression
Gm34811,Gene Expression
AI987944,Gene Expression
Gm17102,Gene Expression
Gm20449,Gene Expression
Vmn2r57,Gene Expression
AW146154,Gene Expression
Gm6871,Gene Expression
2610021A01Rik,Gene Expression
Zfp788,Gene Expression
Vmn2r58,Gene Expression
Vmn2r59,Gene Expression
Vmn2r60,Gene Expression
Vmn2r61,Gene Expression
4933421I07Rik,Gene Expression
Zfp141,Gene Expression
Gm21028,Gene Expression
Zfp977,Gene Expression
Zfp976,Gene Expression
Zfp975,Gene Expression
Gm17067,Gene Expression
Vmn2r62,Gene Expression
Gm2381,Gene Expression
Vmn2r63,Gene Expression
Gm9268,Gene Expression
Gm17768,Gene Expression
Zfp936,Gene Expression
EU599041,Gene Expression
Zfp715,Gene Expression
Siglecf,Gene Expression
Siglecg,Gene Expression
Lim2,Gene Expression
Nkg7,Gene Expression
Cldnd2,Gene Expression
Etfb,Gene Expression
Gm45233,Gene Expression
Vsig10l,Gene Expression
Iglon5,Gene Expression
4931406B18Rik,Gene Expression
Gm2511,Gene Expression
Cd33,Gene Expression
Gm44818,Gene Expression
Zfp658,Gene Expression
Zfp719,Gene Expression
Zfp819,Gene Expression
Ceacam18,Gene Expression
Siglece,Gene Expression
Gm36546,Gene Expression
Ctu1,Gene Expression
Klk14,Gene Expression
Klk13,Gene Expression
Klk12,Gene Expression
Klk11,Gene Expression
Klk10,Gene Expression
Klk9,Gene Expression
Klk8,Gene Expression
Klk7,Gene Expression
Klk6,Gene Expression
Klk5,Gene Expression
Gm44707,Gene Expression
Klk4,Gene Expression
Klk15,Gene Expression
Gm44756,Gene Expression
Klk1b8,Gene Expression
Klk1b1,Gene Expression
Klk1b9,Gene Expression
Klk1b11,Gene Expression
Klk1b26,Gene Expression
Klk1b27,Gene Expression
Klk1b21,Gene Expression
Klk1b22,Gene Expression
Klk1b16,Gene Expression
Klk1b24,Gene Expression
Klk1b3,Gene Expression
Klk1b4,Gene Expression
Klk1b5,Gene Expression
Klk1,Gene Expression
1700028J19Rik,Gene Expression
Gm36864,Gene Expression
2410002F23Rik,Gene Expression
Acp4,Gene Expression
Gm15517,Gene Expression
Clec11a,Gene Expression
Shank1,Gene Expression
1700008O03Rik,Gene Expression
Gm44780,Gene Expression
Syt3,Gene Expression
Lrrc4b,Gene Expression
Aspdh,Gene Expression
Josd2,Gene Expression
5430431A17Rik,Gene Expression
Emc10,Gene Expression
Fam71e1,Gene Expression
Mybpc2,Gene Expression
Spib,Gene Expression
Pold1,Gene Expression
Nr1h2,Gene Expression
Napsa,Gene Expression
Gm15396,Gene Expression
Kcnc3,Gene Expression
Gm44832,Gene Expression
Myh14,Gene Expression
2310016G11Rik,Gene Expression
Izumo2,Gene Expression
Zfp473,Gene Expression
Vrk3,Gene Expression
Atf5,Gene Expression
Nup62,Gene Expression
Il4i1,Gene Expression
Tbc1d17,Gene Expression
Akt1s1,Gene Expression
Pnkp,Gene Expression
Ptov1,Gene Expression
Med25,Gene Expression
Fuz,Gene Expression
Ap2a1,Gene Expression
Tsks,Gene Expression
Cpt1c,Gene Expression
6530437J22Rik,Gene Expression
Prmt1,Gene Expression
Gm15545,Gene Expression
Bcl2l12,Gene Expression
Irf3,Gene Expression
Scaf1,Gene Expression
Rras,Gene Expression
Prr12,Gene Expression
Prrg2,Gene Expression
Nosip,Gene Expression
Rcn3,Gene Expression
Gm45669,Gene Expression
Fcgrt,Gene Expression
Gm45552,Gene Expression
Rps11,Gene Expression
Rpl13a,Gene Expression
Gm45713,Gene Expression
Flt3l,Gene Expression
Aldh16a1,Gene Expression
Pih1d1,Gene Expression
Slc17a7,Gene Expression
Gfy,Gene Expression
Pth2,Gene Expression
Ccdc155,Gene Expression
Dkkl1,Gene Expression
Tead2,Gene Expression
Cd37,Gene Expression
Slc6a16,Gene Expression
Slc6a21,Gene Expression
Trpm4,Gene Expression
Hrc,Gene Expression
Ppfia3,Gene Expression
Mtag2,Gene Expression
Lin7b,Gene Expression
Gm45619,Gene Expression
Snrnp70,Gene Expression
Kcna7,Gene Expression
Ntf5,Gene Expression
Lhb,Gene Expression
Ruvbl2,Gene Expression
Gys1,Gene Expression
Ftl1,Gene Expression
Bax,Gene Expression
Gm45808,Gene Expression
Dhdh,Gene Expression
Tulp2,Gene Expression
Nucb1,Gene Expression
Ppp1r15a,Gene Expression
Plekha4,Gene Expression
Gm45564,Gene Expression
Hsd17b14,Gene Expression
0610005C13Rik,Gene Expression
Bcat2,Gene Expression
Gm31479,Gene Expression
Fgf21,Gene Expression
Fut1,Gene Expression
Izumo1,Gene Expression
Rasip1,Gene Expression
Gm45437,Gene Expression
A030001D20Rik,Gene Expression
Mamstr,Gene Expression
Fut2,Gene Expression
Sec1,Gene Expression
Ntn5,Gene Expression
Car11,Gene Expression
Dbp,Gene Expression
Sphk2,Gene Expression
Rpl18,Gene Expression
Fam83e,Gene Expression
Spaca4,Gene Expression
Sult2b1,Gene Expression
Gm31597,Gene Expression
Lmtk3,Gene Expression
Cyth2,Gene Expression
Kcnj14,Gene Expression
Grwd1,Gene Expression
Gm45441,Gene Expression
Grin2d,Gene Expression
Kdelr1,Gene Expression
Syngr4,Gene Expression
Tmem143,Gene Expression
Emp3,Gene Expression
Gm45442,Gene Expression
Ccdc114,Gene Expression
Abcc6,Gene Expression
Nomo1,Gene Expression
Kcnj11,Gene Expression
Abcc8,Gene Expression
Gm45486,Gene Expression
Ush1c,Gene Expression
Otog,Gene Expression
1700025L06Rik,Gene Expression
Myod1,Gene Expression
Kcnc1,Gene Expression
Sergef,Gene Expression
Gm15700,Gene Expression
Tph1,Gene Expression
Saal1,Gene Expression
Saa3,Gene Expression
Saa4,Gene Expression
Saa1,Gene Expression
Saa2,Gene Expression
Hps5,Gene Expression
Gtf2h1,Gene Expression
Ldha,Gene Expression
Ldhc,Gene Expression
Tsg101,Gene Expression
Uevld,Gene Expression
C86187,Gene Expression
Gm9999,Gene Expression
Spty2d1,Gene Expression
Gm45474,Gene Expression
Tmem86a,Gene Expression
Ptpn5,Gene Expression
Gm14377,Gene Expression
Gm44969,Gene Expression
Mrgpra6,Gene Expression
Mrgpra9,Gene Expression
Mrgpra1,Gene Expression
Mrgpra2a,Gene Expression
Mrgpra2b,Gene Expression
Mrgpra3,Gene Expression
Mrgpra4,Gene Expression
Mrgprx1,Gene Expression
Mrgprb5,Gene Expression
Mrgprb4,Gene Expression
Mrgprb8,Gene Expression
Mrgprb1,Gene Expression
Mrgprx2,Gene Expression
Mrgprb2,Gene Expression
Mrgprb3,Gene Expression
Gm45086,Gene Expression
Zdhhc13,Gene Expression
Csrp3,Gene Expression
E2f8,Gene Expression
Gm45282,Gene Expression
Nav2,Gene Expression
Gm32849,Gene Expression
9130015G15Rik,Gene Expression
Dbx1,Gene Expression
Htatip2,Gene Expression
Prmt3,Gene Expression
Gm26856,Gene Expression
Slc6a5,Gene Expression
Nell1,Gene Expression
Nell1os,Gene Expression
4933405O20Rik,Gene Expression
Ano5,Gene Expression
Slc17a6,Gene Expression
Gm29296,Gene Expression
Fancf,Gene Expression
Gas2,Gene Expression
Svip,Gene Expression
1700015G11Rik,Gene Expression
Luzp2,Gene Expression
Siglech,Gene Expression
Tubgcp5,Gene Expression
Cyfip1,Gene Expression
Nipa2,Gene Expression
Nipa1,Gene Expression
Herc2,Gene Expression
Oca2,Gene Expression
Gm44506,Gene Expression
Gabrg3,Gene Expression
Gm9962,Gene Expression
Gabra5,Gene Expression
Gabrb3,Gene Expression
Atp10a,Gene Expression
Ube3a,Gene Expression
Gm38393,Gene Expression
Snrpn,Gene Expression
Snurf,Gene Expression
Gm44644,Gene Expression
Gm44643,Gene Expression
A230006K03Rik,Gene Expression
B230209E15Rik,Gene Expression
A230057D06Rik,Gene Expression
Gm9801,Gene Expression
Gm32061,Gene Expression
Ndn,Gene Expression
Magel2,Gene Expression
Mkrn3,Gene Expression
Peg12,Gene Expression
A26c2,Gene Expression
Chrna7,Gene Expression
4930554H23Rik,Gene Expression
Otud7a,Gene Expression
Gm44718,Gene Expression
Klf13,Gene Expression
E030018B13Rik,Gene Expression
Gm45052,Gene Expression
Gm32633,Gene Expression
Gm45054,Gene Expression
Gm20670,Gene Expression
Trpm1,Gene Expression
Mtmr10,Gene Expression
Gm20457,Gene Expression
Fan1,Gene Expression
Mphosph10,Gene Expression
Mcee,Gene Expression
Apba2,Gene Expression
Fam189a1,Gene Expression
Nsmce3,Gene Expression
1810049I09Rik,Gene Expression
Tjp1,Gene Expression
BC046251,Gene Expression
Tarsl2,Gene Expression
